sample_name	REPORTER	SPLIT-AD	SPLIT-DBD	
LC16_d2_201609_rep2	10xUAS_UNC84_attP2	R92B02-p65ADZp_VK00027	R38E08-ZpGDBD_attP2	
LPLC1_201609_rep1	10xUAS_UNC84_attP2	R64G09-p65ADZp_attP40	R37H04-ZpGDBD_attP2	
LPLC1_201609_rep2	10xUAS_UNC84_attP2	R64G09-p65ADZp_attP40	R37H04-ZpGDBD_attP2	
LPLC2_201609_rep1	10xUAS_UNC84_attP2	R19G02-p65ADZp_attP40	R75G12-ZpGDBD_attP2	
LPLC2_201609_rep2	10xUAS_UNC84_attP2	R19G02-p65ADZp_attP40	R75G12-ZpGDBD_attP2	
LC6_d1_201609_rep1	10xUAS_UNC84_attP2	R91B01-p65ADZp_attP40_	R22A07-ZpGDBD_attP2	
LC6_d1_201609_rep2	10xUAS_UNC84_attP2	R91B01-p65ADZp_attP40_	R22A07-ZpGDBD_attP2	
LC6_d2_201609_rep1	10xUAS_UNC84_attP2	R47E07-p65ADZp_attP40	VT049344-ZpGDBD_attP2	
LC6_d2_201609_rep2	10xUAS_UNC84_attP2	R47E07-p65ADZp_attP40	VT049344-ZpGDBD_attP2	
LC4_201609_rep1	10xUAS_UNC84_attP2	R49C04-p65ADZp_attP40	R72E01-ZpGDBD_attP2	
LC4_201609_rep2	10xUAS_UNC84_attP2	R49C04-p65ADZp_attP40	R72E01-ZpGDBD_attP2	
Dm4_201609_rep1	10xUAS_UNC84_attP2	R53D12-p65ADZp_attP40	R70B10-ZpGDBD_attP2	
Dm4_201609_rep2	10xUAS_UNC84_attP2	R53D12-p65ADZp_attP40	R70B10-ZpGDBD_attP2	
PBG2-9.s-FBl1.b-NO3P.b_d1_201609_rep1	10xUAS_UNC84_attP2	VT016127-p65ADZp_attP40	R20H05-ZpGDBD_attP2	
PBG2-9.s-FBl1.b-NO3P.b_d1_201609_rep2	10xUAS_UNC84_attP2	VT016127-p65ADZp_attP40	R20H05-ZpGDBD_attP2	
PBG2-9.s-FBl1.b-NO3P.b_d2_201609_rep1	10xUAS_UNC84_attP2	R65B12-p65ADZp_attP40	R12G01-ZpGDBD_attP2	
PBG2-9.s-FBl1.b-NO3P.b_d2_201609_rep2	10xUAS_UNC84_attP2	R65B12-p65ADZp_attP40	R12G01-ZpGDBD_attP2	
Pm3_201609_rep1	10xUAS_UNC84_attP2	R70B07-p65ADZp_attP40	R65D05-ZpGDBD_attP2	
Pm3_201609_rep2	10xUAS_UNC84_attP2	R70B07-p65ADZp_attP40	R65D05-ZpGDBD_attP2	
PBG2-9.s-FBl2.b-NO3A.b_201609_rep1	10xUAS_UNC84_attP2	R16D01-p65ADZp_attP40	VT016114-ZpGDBD_attP2	
PBG2-9.s-FBl2.b-NO3A.b_201609_rep2	10xUAS_UNC84_attP2	R16D01-p65ADZp_attP40	VT016114-ZpGDBD_attP2	
PBG1-8.b-EBw.s-D_Vgall.b_201609_rep1	10xUAS_UNC84_attP2	R19G02-p65ADZp_attP40	R15C03-ZpGDBD_attP2	
PBG1-8.b-EBw.s-D_Vgall.b_201609_rep2	10xUAS_UNC84_attP2	R19G02-p65ADZp_attP40	R15C03-ZpGDBD_attP2	
PB18.s_Gx_7Gy.b__PB18.s-9i1i8c.b_201609_rep1	10xUAS_UNC84_attP2	R24A02-p65ADZp_attP40	R12G01-ZpGDBD_attP2	
PB18.s_Gx_7Gy.b__PB18.s-9i1i8c.b_201609_rep2	10xUAS_UNC84_attP2	R24A02-p65ADZp_attP40	R12G01-ZpGDBD_attP2	
Lpi34_201609_rep1	10xUAS_UNC84_attP2	VT061221-p65ADZp_attP40	VT045575-ZpGDBD_attP2	
Lpi34_201609_rep2	10xUAS_UNC84_attP2	VT061221-p65ADZp_attP40	VT045575-ZpGDBD_attP2	
PBG2-9.s-EBt.b-NO1.b_201609_rep1	10xUAS_UNC84_attP2	R30C01-p65ADZp_attP40	R48A11-ZpGDBD_attP2	
PBG2-9.s-EBt.b-NO1.b_201609_rep2	10xUAS_UNC84_attP2	R30C01-p65ADZp_attP40	R48A11-ZpGDBD_attP2	
PBG2-9.s-FBl3.b-NO2D.b_201609_rep1	10xUAS_UNC84_attP2	R16D01-p65ADZp_attP40	R15E01-ZpGDBD_attP2	
PBG2-9.s-FBl3.b-NO2D.b_201609_rep2	10xUAS_UNC84_attP2	R16D01-p65ADZp_attP40	R15E01-ZpGDBD_attP2	
glia_marginal_1_201611_rep1	10xUAS_UNC84_attP2	R35E04-p65ADZp_attP40	R65B12-ZpGdbd__attP2	
glia_marginal_1_201611_rep2	10xUAS_UNC84_attP2	R35E04-p65ADZp_attP40	R65B12-ZpGdbd_attP2	
glia_proximal_satellite_1_201611_rep1	10xUAS_UNC84_attP2	R38A07-p65ADZp_attP40	R87B09-ZpGdbd_attP2	
glia_proximal_satellite_1_201611_rep2	10xUAS_UNC84_attP2	R38A07-p65ADZp_attP40	R87B09-ZpGdbd_attP2	
glia_proximal_satellite_2_201611_rep1	10xUAS_UNC84_attP2	R42B05-p65ADZp_attP40	R87B09-ZpGdbd_attP2	
glia_proximal_satellite_2_201611_rep2	10xUAS_UNC84_attP2	R42B05-p65ADZp_attP40	R87B09-ZpGdbd_attP2	
glia_epithelial_1_201611_rep1	10xUAS_UNC84_attP2	R37D04-p65ADZp_attP40	R55A03-ZpGdbd_attP2	
glia_epithelial_1_201611_rep2	10xUAS_UNC84_attP2	R37D04-p65ADZp_attP40	R55A03-ZpGdbd_attP2	
glia_epithelial_3_201611_rep1	10xUAS_UNC84_attP2	R42B05-p65ADZp_attP40	R55A03-ZpGdbd_attP2	
glia_epithelial_3_201611_rep2	10xUAS_UNC84_attP2	R42B05-p65ADZp_attP40	R55A03-ZpGdbd_attP2	
glia_epithelial_2_201611_rep1	10xUAS_UNC84_attP2	R37D04-p65ADZp_attP40	R42B05-ZpGdbd_attP2	
glia_epithelial_2_201611_rep2	10xUAS_UNC84_attP2	R37D04-p65ADZp_attP40	R42B05-ZpGdbd_attP2	
Tm5_201611_rep1	10xUAS_UNC84_attP2	R26A08-p65ADZp_attP40	R72G03-ZpGDBD_attP2	
Tm5_201611_rep2	10xUAS_UNC84_attP2	R26A08-p65ADZp_attP40	R72G03-ZpGDBD_attP2	
Dm8_201611_rep1	10xUAS_UNC84_attP2	R55F02-p65ADZp_attP40	R24F06-ZpGDBD_attP2	
Dm8_201611_rep2	10xUAS_UNC84_attP2	R55F02-p65ADZp_attP40	R24F06-ZpGDBD_attP2	
Tm20_201611_rep1	10xUAS_UNC84_attP2	R41E03-p65ADZp_attP40	R81G11-ZpGDBD_attP2	
Tm20_201611_rep2	10xUAS_UNC84_attP2	R41E03-p65ADZp_attP40	R81G11-ZpGDBD_attP2	
Lawf1_SS689_201611_rep1	10xUAS_UNC84_attP2	R11G01-p65ADZp_attP40	R15G08-ZpGDBD_attP2	
Lawf1_SS689_201611_rep2	10xUAS_UNC84_attP2	R11G01-p65ADZpattP40	R15G08-ZpGDBD_attP2	
Dm3_201611_rep1	10xUAS_UNC84_attP2	R73F07-p65ADZpattP40	R31B08-ZpGDBD_attP2	
Dm3_201611_rep2	10xUAS_UNC84_attP2	R73F07-p65ADZp_attP40	R31B08-ZpGDBD_attP2	
MB607B_KCgd_201611_rep1	10xUAS_UNC84_attP2	R19B03-p65ADZp_attP40	R39A11-ZpGDBD_attP2	
MB607B_KCgd_201611_rep2	10xUAS_UNC84_attP2	R19B03-p65ADZp_attP40	R39A11-ZpGDBD_attP2	
MB463B_KCabp_201611_rep1	10xUAS_UNC84_attP2	R35B12-p65ADZp_attP40	R34A03-ZpGDBD_attP2	
MB463B_KCabp_201611_rep2	10xUAS_UNC84_attP2	R35B12-p65ADZp_attP40	R34A03-ZpGDBD_attP2	
MB418B_KCabp_201611_rep1	10xUAS_UNC84_attP2	R26E07-p65ADZp_attP40	R30F02-ZpGDBD_attP2	
MB418B_KCabp_201611_rep2	10xUAS_UNC84_attP2	R26E07-p65ADZp_attP40	R30F02-ZpGDBD_attP2	
MB371B_KCab_201611_rep1	10xUAS_UNC84_attP2	R13F02-p65ADZp_attP40	R85D07-ZpGDBD_attP2	
MB371B_KCab_201611_rep2	10xUAS_UNC84_attP2	R13F02-p65ADZp_attP40	R85D07-ZpGDBD_attP2	
MB8B_KCab_201611_rep1	10xUAS_UNC84_attP2	R13F02-p65ADZp_attP40	R44E04-ZpGDBD_attP2	
MB8B_KCab_201611_rep2	10xUAS_UNC84_attP2	R13F02-p65ADZp_attP40	R44E04-ZpGDBD_attP2	
MB185B_KCab_201611_rep1	10xUAS_UNC84_attP2	R52H09-p65ADZp_attP40	R18F09-ZpGDBD_attP2	
MB185B_KCab_201611_rep2	10xUAS_UNC84_attP2	R52H09-p65ADZp_attP40	R18F09-ZpGDBD_attP2	
MB594B_KCab_201611_rep1	10xUAS_UNC84_attP2	R13F02-p65ADZp_attP40	R58F02-ZpGDBD_attP2	
MB594B_KCab_201611_rep2	10xUAS_UNC84_attP2	R13F02-p65ADZp_attP40	R58F02-ZpGDBD_attP2	
MB43C_PAM_201611_rep1	10xUAS_UNC84_attP2	R58E02-p65ADZp_attP40_	R32D11-ZpGDBD_attP2	
MB43C_PAM_201611_rep2	10xUAS_UNC84_attP2	R58E02-p65ADZp_attP40_	R32D11-ZpGDBD_attP2	
MB63B_PAM_201611_rep1	10xUAS_UNC84_attP2	R93D10-p65ADZp_attP40	R68C09-ZpGDBD_attP2	
MB63B_PAM_201611_rep2	10xUAS_UNC84_attP2	R93D10-p65ADZp_attP40	R68C09-ZpGDBD_attP2	
MB441B_PAM_201611_rep1	10xUAS_UNC84_attP2	R30G08-p65ADZp_attP40	R48B03-ZpGDBD_attP2	
MB441B_PAM_201611_rep2	10xUAS_UNC84_attP2	R30G08-p65ADZp_attP40	R48B03-ZpGDBD_attP2	
MB312B_PAM_201611_rep1	10xUAS_UNC84_attP2	R58E02-p65ADZp_attP40	R10G03-ZpGDBD_attP2	
MB312B_PAM_201611_rep2	10xUAS_UNC84_attP2	R58E02-p65ADZp_attP40	R10G03-ZpGDBD_attP2	
MB315C_PAM_201611_rep1	10xUAS_UNC84_attP2	R58E02-p65ADZp_attP40	R48H11-ZpGDBD_attP2	
MB315C_PAM_201611_rep2	10xUAS_UNC84_attP2	R58E02-p65ADZp_attP40	R48H11-ZpGDBD_attP2	
MB109B_PAM_201611_rep1	10xUAS_UNC84_attP2	R76F05-p65ADZp_attP40	R23C12-ZpGDBD_attP2	
MB109B_PAM_201611_rep2	10xUAS_UNC84_attP2	R76F05-p65ADZp_attP40	R23C12-ZpGDBD_attP2	
MB57B_PAM_201611_rep1	10xUAS_UNC84_attP2	R80G12-p65ADZp_attP40	R53H03-ZpGDBD_attP2	
MB57B_PAM_201611_rep2	10xUAS_UNC84_attP2	R80G12-p65ADZp_attP40	R53H03-ZpGDBD_attP2	
MB213B_PAM_201611_rep1	10xUAS_UNC84_attP2	R76F05-p65ADZp_attP40	R32G08-ZpGDBD_attP2	
MB213B_PAM_201611_rep2	10xUAS_UNC84_attP2	R76F05-p65ADZp_attP40	R32G08-ZpGDBD_attP2	
T4_d1_SS23866_rep1	10xUAS_UNC84_attP2	VT015785-p65ADZp_attP40	R42F06-ZpGDBD_attP2	
T4_d1_SS23866_rep2	10xUAS_UNC84_attP2	VT015785-p65ADZp_attP40	R42F06-ZpGDBD_attP2	
T4_d2_SS02344_rep1	10xUAS_UNC84_attP2	VT015785-p65ADZp_attP40	R39H12-ZpGDBD_attP2	
T4_d2_SS02344_rep2	10xUAS_UNC84_attP2	VT015785-p65ADZp_attP40	R39H12-ZpGDBD_attP2	
T5_d1_SS25175_rep1	10xUAS_UNC84_attP2	R24A07-p65ADZp_attP40	VT043070-ZpGDBD_attP2	
T5_d1_SS25175_rep2	10xUAS_UNC84_attP2	R24A07-p65ADZp_attP40	VT043070-ZpGDBD_attP2	
T5_d2_23757_rep1	10xUAS_UNC84_attP2	VT055812-p65ADZp_attP40	R47H05-ZpGDBD_attP2	
T5_d2_23757_rep2	10xUAS_UNC84_attP2	VT055812-p65ADZp_attP40	R47H05-ZpGDBD_attP2	
T4T5_d1_SS21452_rep1	10xUAS_UNC84_attP2	R59E08-p65ADZp_attP40	R42F06-ZpGDBD_attP2	
